username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
KuzivaShady;2019-01-03 18:47;0;0;"its the other way round Liver 3-1Man city";;;;"1080868354758492165";https://twitter.com/KuzivaShady/status/1080868354758492165
GwaraAndrew;2019-01-03 18:37;0;1;"@ManCity 2-1 @LFC , 1-1 in first half";;@ManCity @LFC;;"1080865847466491907";https://twitter.com/GwaraAndrew/status/1080865847466491907
ChexRandy;2019-01-03 18:34;0;1;"Manchester City 0-0 Liverpool As for the half with the most goals ...";;;;"1080864938527211520";https://twitter.com/ChexRandy/status/1080864938527211520
tchakanyuka01;2019-01-03 18:33;0;1;"ManCity 1-3 Liverpool. 2 goals first half";;;;"1080864799460913152";https://twitter.com/tchakanyuka01/status/1080864799460913152
fearnotsinnot;2019-01-03 18:30;0;0;"3goals,first half to be scored ONLY ONE GOAL";;;;"1080863976853028864";https://twitter.com/fearnotsinnot/status/1080863976853028864
Langton_Mundoma;2019-01-03 18:29;0;1;"5goals total 3goals first half";;;;"1080863628130217986";https://twitter.com/Langton_Mundoma/status/1080863628130217986
dandehict;2019-01-03 18:28;0;0;"Liverpool 3:3 Man city";;;;"1080863529954144258";https://twitter.com/dandehict/status/1080863529954144258
Passion91602824;2019-01-03 18:23;0;0;"Total number of goals 4 Liverpool 3-manchester city 1";;;;"1080862147293401089";https://twitter.com/Passion91602824/status/1080862147293401089
Russ_Wacho;2019-01-03 18:22;0;1;"A total of 5 goals, many goals to be witnessed in the first half #Partnersinsport";;;#Partnersinsport;"1080861987503001601";https://twitter.com/Russ_Wacho/status/1080861987503001601
fetmacnamagic;2019-01-03 18:18;0;0;"MCI 3-0 Liv 1 1st half & 2 2ndHalf";;;;"1080861067318906880";https://twitter.com/fetmacnamagic/status/1080861067318906880
cchiefjustice;2019-01-03 18:17;0;1;"3 goals will be scored";;;;"1080860803174227968";https://twitter.com/cchiefjustice/status/1080860803174227968
heatherchinho;2019-01-03 18:17;0;1;"2 goals first half";;;;"1080860598609551361";https://twitter.com/heatherchinho/status/1080860598609551361
AliiMajor;2019-01-03 18:14;0;1;"2";;;;"1080859946802135040";https://twitter.com/AliiMajor/status/1080859946802135040
Tauhlatini;2019-01-03 18:09;0;1;"2-0 to Liverpool a goal each half";;;;"1080858658706259968";https://twitter.com/Tauhlatini/status/1080858658706259968
BirthwellMarufu;2019-01-03 18:07;0;0;"7 goals. 5:2 in favour of Liverpool";;;;"1080858181511860225";https://twitter.com/BirthwellMarufu/status/1080858181511860225
PapaGee003;2019-01-03 18:03;0;1;"3 goals. First half with 2 goals";;;;"1080857283221995521";https://twitter.com/PapaGee003/status/1080857283221995521
MakkiSimba;2019-01-03 18:00;0;0;"3 goals first half Liverpool ' . Man city o - liverpool 5 win";;;;"1080856410693533696";https://twitter.com/MakkiSimba/status/1080856410693533696
CuriousZimbo;2019-01-03 17:59;0;2;"Man City 2 : 3 Liverpool Halftime 1 : 1";;;;"1080856058766245889";https://twitter.com/CuriousZimbo/status/1080856058766245889
